filename,width,height,class,xmin,ymin,xmax,ymax
2265.jpg,372,372,teeshirt,22,81,174,265
2265.jpg,372,372,teeshirt,197,78,325,268
2266.jpg,1001,1400,teeshirt,112,142,912,897
2268.jpg,626,800,teeshirt,123,116,501,689
2270.jpg,445,543,teeshirt,74,114,400,471
2271.jpg,560,694,teeshirt,93,131,478,620
2272.jpg,800,1000,teeshirt,49,118,800,873
2273.jpg,2000,2000,teeshirt,313,51,1660,2000
2276.jpg,222,333,teeshirt,7,49,217,317
2278.jpg,900,1200,teeshirt,11,111,894,1089
2279.jpg,372,372,teeshirt,99,84,263,280
2280.jpg,1001,1400,teeshirt,146,123,882,897
2281.jpg,760,1177,teeshirt,50,174,716,1027
2283.jpg,600,900,teeshirt,78,238,520,799
2284.jpg,445,543,teeshirt,5,42,430,510
2285.jpg,2000,2000,teeshirt,207,69,1731,2000
2286.jpg,870,1110,teeshirt,96,246,634,876
2288.jpg,445,543,teeshirt,10,40,432,524
2291.jpg,222,333,teeshirt,15,53,217,269
2292.jpg,445,543,teeshirt,14,46,437,521
2293.jpg,2000,2000,teeshirt,277,63,1713,1932
2295.jpg,2000,2000,teeshirt,271,57,1728,1960
2296.jpg,800,1000,teeshirt,100,169,742,846
2297.jpg,900,1200,teeshirt,49,109,854,1105
2298.jpg,2000,2000,teeshirt,213,87,1734,1972
2299.jpg,445,543,teeshirt,47,113,314,462
2300.jpg,2000,2000,teeshirt,253,60,1777,1990
2301.jpg,800,1000,teeshirt,71,150,753,892
2302.jpg,2000,2000,teeshirt,259,63,1762,1984
2303.jpg,871,1110,teeshirt,47,229,632,1044
2304.jpg,640,821,teeshirt,89,185,540,709
2305.jpg,1686,2529,teeshirt,360,614,1233,2129
2307.jpg,800,1000,teeshirt,58,156,738,871
2308.jpg,2240,1448,teeshirt,614,171,1603,1448
2309.jpg,900,1200,teeshirt,45,113,849,1200
2310.jpg,626,800,teeshirt,119,111,519,686
2311.jpg,372,372,teeshirt,29,76,190,275
2311.jpg,372,372,teeshirt,205,81,359,283
2312.jpg,1001,1400,teeshirt,95,123,955,906
2314.jpg,626,800,teeshirt,89,109,529,711
2316.jpg,445,543,teeshirt,92,118,400,535
2317.jpg,560,694,teeshirt,86,136,474,600
2318.jpg,800,1000,teeshirt,55,160,764,886
2319.jpg,2000,2000,teeshirt,204,60,1682,1999
2320.jpg,871,1110,teeshirt,1,332,551,1018
2321.jpg,1080,1620,teeshirt,91,167,968,1482
2322.jpg,222,333,teeshirt,7,45,220,313
2324.jpg,900,1200,teeshirt,49,116,876,1122
2326.jpg,1001,1400,teeshirt,116,125,906,906
2327.jpg,760,1178,teeshirt,59,138,711,1051
2328.jpg,626,800,teeshirt,105,98,557,695
2329.jpg,600,900,teeshirt,142,269,519,826
2330.jpg,445,543,teeshirt,19,61,445,472
2331.jpg,2000,2000,teeshirt,237,78,1830,2000
2332.jpg,871,1110,teeshirt,276,257,822,900
2333.jpg,372,372,teeshirt,110,92,278,273
2334.jpg,445,543,teeshirt,67,146,372,526
2337.jpg,222,333,teeshirt,6,44,222,297
2338.jpg,445,543,teeshirt,16,41,432,517
2339.jpg,2000,2000,teeshirt,301,93,1725,1972
2341.jpg,2000,2000,teeshirt,250,38,1650,2000
2342.jpg,800,1000,teeshirt,91,163,715,907
2343.jpg,900,1200,teeshirt,27,105,882,1105
2344.jpg,2000,2000,teeshirt,295,84,1701,1990
2345.jpg,445,543,teeshirt,115,153,380,519
2346.jpg,2000,2000,teeshirt,271,66,1743,1926
2347.jpg,800,1000,teeshirt,42,127,753,883
2348.jpg,2000,2000,teeshirt,280,87,1683,1944
2349.jpg,871,1110,teeshirt,95,232,624,1039
2350.jpg,640,821,teeshirt,117,186,552,776
2351.jpg,1686,2529,teeshirt,321,618,1475,2122
2353.jpg,800,1000,teeshirt,71,168,742,859
2354.jpg,2240,1448,teeshirt,641,185,1600,1401
2355.jpg,900,1200,teeshirt,47,116,829,1189
2356.jpg,626,800,teeshirt,125,122,507,618
2357.jpg,372,372,teeshirt,24,73,178,269
2357.jpg,372,372,teeshirt,204,91,339,287
2358.jpg,1001,1400,teeshirt,118,146,904,910
2360.jpg,626,800,teeshirt,89,118,531,744
2362.jpg,445,543,teeshirt,39,98,348,462
2363.jpg,560,694,teeshirt,115,149,479,572
2364.jpg,800,1000,teeshirt,8,165,780,916
2365.jpg,2000,2000,teeshirt,243,72,1674,1951
2367.jpg,1080,1620,teeshirt,103,215,998,1532
2368.jpg,222,333,teeshirt,8,44,216,302
2370.jpg,900,1200,teeshirt,49,103,876,1183
2371.jpg,372,372,teeshirt,112,78,263,271
2372.jpg,1001,1400,teeshirt,125,133,897,865
2373.jpg,760,1177,teeshirt,75,92,723,1079
2374.jpg,626,800,teeshirt,72,105,561,655
2375.jpg,600,900,teeshirt,160,259,600,874
2376.jpg,445,543,teeshirt,19,54,445,507
2377.jpg,2000,2000,teeshirt,177,69,1856,1972
2378.jpg,871,1110,teeshirt,101,234,720,888
2379.jpg,372,372,teeshirt,87,87,261,271
2380.jpg,445,543,teeshirt,58,145,380,527
2383.jpg,222,333,teeshirt,1,63,203,285
2384.jpg,445,543,teeshirt,14,37,437,510
2385.jpg,2000,2000,teeshirt,328,57,1701,1920
2387.jpg,2000,2000,teeshirt,259,69,1674,1926
2388.jpg,800,1000,teeshirt,41,168,800,873
2389.jpg,900,1200,teeshirt,20,105,874,1087
2390.jpg,2000,2000,teeshirt,280,78,1734,1944
2391.jpg,445,543,teeshirt,71,142,329,539
2392.jpg,2000,2000,teeshirt,316,90,1771,1948
2393.jpg,800,1000,teeshirt,91,140,759,877
2394.jpg,2000,2000,teeshirt,250,75,1747,1905
2395.jpg,870,1110,teeshirt,1,234,496,1007
2396.jpg,640,820,teeshirt,87,157,563,794
2397.jpg,1686,2529,teeshirt,402,633,1441,2106
2398.jpg,800,1000,teeshirt,68,163,759,865
2399.jpg,2240,1448,teeshirt,636,187,1602,1444
2400.jpg,900,1200,teeshirt,62,122,867,1111
2401.jpg,626,800,teeshirt,124,129,525,617
2402.jpg,372,372,teeshirt,15,82,176,267
2402.jpg,372,372,teeshirt,202,79,332,256
2403.jpg,1001,1400,teeshirt,87,131,923,876
2405.jpg,626,800,teeshirt,100,111,518,695
2407.jpg,445,543,teeshirt,51,109,333,448
2409.jpg,800,1000,teeshirt,33,169,797,895
2410.jpg,2000,2000,teeshirt,274,69,1677,1954
2411.jpg,870,1110,teeshirt,351,235,798,900
2412.jpg,1080,1620,teeshirt,121,240,1013,1432
2413.jpg,222,333,teeshirt,16,41,218,292
2415.jpg,900,1200,teeshirt,49,127,856,1145
2417.jpg,1001,1400,teeshirt,116,140,963,872
2418.jpg,760,1177,teeshirt,32,168,729,1018
2419.jpg,626,800,teeshirt,84,114,602,718
2420.jpg,600,900,teeshirt,146,210,520,759
2421.jpg,445,543,teeshirt,13,48,438,503
2422.jpg,2000,2000,teeshirt,380,81,1777,1996
2423.jpg,870,1110,teeshirt,185,207,788,976
2425.jpg,445,543,teeshirt,70,106,288,402
2428.jpg,222,333,teeshirt,10,58,218,282
2429.jpg,445,543,teeshirt,65,128,351,518
2430.jpg,2000,2000,teeshirt,274,81,1719,1944
2432.jpg,2000,2000,teeshirt,47,166,1928,1963
2433.jpg,800,1000,teeshirt,24,150,755,860
2434.jpg,900,1200,teeshirt,9,105,900,1196
2435.jpg,445,543,teeshirt,102,140,444,543
2436.jpg,2000,2000,teeshirt,116,99,1801,1993
2437.jpg,800,1000,teeshirt,68,142,762,881
2438.jpg,2000,2000,teeshirt,150,75,1837,1966
2439.jpg,870,1110,teeshirt,218,268,744,942
2440.jpg,640,821,teeshirt,90,164,562,787
2441.jpg,1686,2529,teeshirt,337,606,1364,2129
2442.jpg,800,1000,teeshirt,88,162,735,837
2443.jpg,2550,1648,teeshirt,607,155,1863,1648
2444.jpg,900,1200,teeshirt,25,120,863,1160
2445.jpg,626,800,teeshirt,101,125,542,634
2447.jpg,1001,1400,teeshirt,114,150,940,1046
2449.jpg,626,800,teeshirt,101,119,527,659
2451.jpg,445,543,teeshirt,82,116,382,471
2453.jpg,800,1000,teeshirt,33,110,800,862
2454.jpg,2000,2000,teeshirt,334,75,1686,1948
2456.jpg,1080,1620,teeshirt,111,215,1026,1475
2457.jpg,222,333,teeshirt,11,31,221,318
2459.jpg,900,1200,teeshirt,56,127,863,1142
2461.jpg,1001,1400,teeshirt,153,135,921,980
2462.jpg,760,1177,teeshirt,45,129,725,1113
2463.jpg,626,800,teeshirt,84,111,564,667
2464.jpg,600,900,teeshirt,94,310,600,899
2465.jpg,445,543,teeshirt,24,37,445,482
2466.jpg,2000,2000,teeshirt,189,90,1820,1999
2467.jpg,871,1110,teeshirt,46,239,593,920
2469.jpg,445,543,teeshirt,124,93,370,404
2472.jpg,222,333,teeshirt,9,55,211,282
2473.jpg,445,543,teeshirt,16,47,445,516
2474.jpg,2000,2000,teeshirt,298,66,1692,1990
2476.jpg,2000,2000,teeshirt,250,63,1747,1963
2477.jpg,800,1000,teeshirt,30,162,756,889
2478.jpg,900,1200,teeshirt,43,118,887,1125
2479.jpg,445,543,teeshirt,62,137,362,523
2480.jpg,2000,2000,teeshirt,283,87,1745,2000
2481.jpg,800,1000,teeshirt,100,143,721,853
2482.jpg,2000,2000,teeshirt,234,51,1755,2000
2483.jpg,870,1110,teeshirt,215,286,720,930
2484.jpg,640,821,teeshirt,110,190,517,729
2485.jpg,1686,2529,teeshirt,341,618,1460,1976
2486.jpg,800,1000,teeshirt,52,177,732,862
2487.jpg,2240,1448,teeshirt,627,187,1596,1448
2488.jpg,900,1200,teeshirt,25,102,889,1109
2489.jpg,626,800,teeshirt,130,122,530,691
2491.jpg,1001,1400,teeshirt,135,142,895,963
2493.jpg,626,800,teeshirt,90,103,545,689
2495.jpg,445,543,teeshirt,64,141,391,523
2496.jpg,560,694,teeshirt,92,125,481,600
2497.jpg,800,1000,teeshirt,14,148,800,891
2498.jpg,2000,2000,teeshirt,310,54,1695,1878
2500.jpg,1080,1620,teeshirt,81,295,1058,1397
2501.jpg,222,333,teeshirt,9,26,219,315
2503.jpg,900,1200,teeshirt,62,107,860,1180
2505.jpg,1001,1400,teeshirt,76,142,921,1008
2506.jpg,760,1177,teeshirt,43,159,716,1022
2507.jpg,626,800,teeshirt,66,84,530,691
2508.jpg,600,900,teeshirt,74,271,505,796
2509.jpg,445,543,teeshirt,17,47,422,518
2510.jpg,2000,2000,teeshirt,271,69,1876,2000
2511.jpg,871,1110,teeshirt,105,262,751,1030
2513.jpg,445,543,teeshirt,97,126,386,472
2516.jpg,222,333,teeshirt,15,52,211,290
2517.jpg,445,543,teeshirt,13,52,413,509
2519.jpg,2000,2000,teeshirt,289,48,1728,1926
2520.jpg,800,1000,teeshirt,9,151,771,893
2521.jpg,900,1200,teeshirt,58,123,894,1169
2522.jpg,445,543,teeshirt,91,126,408,518
2523.jpg,2000,2000,teeshirt,183,38,1741,2000
2524.jpg,800,1000,teeshirt,65,151,742,869
2525.jpg,2000,2000,teeshirt,313,41,1747,1963
2526.jpg,871,1110,teeshirt,264,259,703,1027
2527.jpg,640,821,teeshirt,124,182,500,745
2528.jpg,1686,2529,teeshirt,348,526,1360,2033
2529.jpg,800,1000,teeshirt,80,153,761,892
2530.jpg,2240,1448,teeshirt,664,189,1635,1448
2531.jpg,900,1200,teeshirt,31,123,838,1140
2532.jpg,626,800,teeshirt,124,117,512,661
2534.jpg,1001,1400,teeshirt,127,101,882,967
2536.jpg,626,800,teeshirt,91,101,540,680
2538.jpg,445,543,teeshirt,79,123,330,526
2539.jpg,560,694,teeshirt,95,120,480,577
2540.jpg,800,1000,teeshirt,12,115,800,858
2541.jpg,2000,2000,teeshirt,222,63,1641,2000
2543.jpg,1080,1620,teeshirt,106,197,1001,1477
2544.jpg,222,333,teeshirt,6,33,218,305
2546.jpg,900,1200,teeshirt,32,127,900,1195
2548.jpg,1001,1400,teeshirt,112,131,910,942
2549.jpg,760,1177,teeshirt,14,168,752,1052
2550.jpg,626,800,teeshirt,73,111,544,673
2551.jpg,600,900,teeshirt,174,371,600,895
2552.jpg,445,543,teeshirt,10,47,433,483
2553.jpg,2000,2000,teeshirt,247,57,1840,1999
2554.jpg,870,1110,teeshirt,268,257,796,973
2555.jpg,372,372,teeshirt,29,90,185,284
2555.jpg,372,372,teeshirt,200,100,343,274
2556.jpg,445,543,teeshirt,86,122,352,452
2559.jpg,222,333,teeshirt,15,40,213,293
2560.jpg,445,543,teeshirt,29,40,445,509
2561.jpg,2000,2000,teeshirt,247,63,1932,2000
2562.jpg,2000,2000,teeshirt,177,69,1786,1911
2563.jpg,800,1000,teeshirt,21,175,765,921
2564.jpg,900,1200,teeshirt,34,111,876,1194
2565.jpg,445,543,teeshirt,107,142,385,528
2566.jpg,2000,2000,teeshirt,283,66,1750,2000
2567.jpg,800,1000,teeshirt,97,139,729,889
2568.jpg,2000,2000,teeshirt,243,69,1734,1966
2569.jpg,870,1110,teeshirt,83,290,532,910
2570.jpg,640,821,teeshirt,43,150,538,804
2571.jpg,1686,2529,teeshirt,291,583,1398,2014
2572.jpg,800,1000,teeshirt,71,168,733,884
2573.jpg,2240,1448,teeshirt,609,182,1541,1446
2574.jpg,900,1200,teeshirt,40,118,840,1199
2575.jpg,626,800,teeshirt,135,118,512,611
2577.jpg,1001,1400,teeshirt,78,127,953,1012
2579.jpg,626,800,teeshirt,102,108,523,675
2581.jpg,445,543,teeshirt,34,150,330,526
2582.jpg,560,694,teeshirt,75,120,486,575
2583.jpg,800,1000,teeshirt,30,122,792,833
2584.jpg,2000,2000,teeshirt,231,51,1657,2000
2585.jpg,871,1110,teeshirt,291,262,835,962
2586.jpg,1080,1620,teeshirt,68,255,971,1462
2587.jpg,222,333,teeshirt,7,41,222,295
2589.jpg,900,1200,teeshirt,47,109,803,1114
2591.jpg,1001,1400,teeshirt,135,123,910,935
2592.jpg,760,1177,teeshirt,18,143,729,1079
2593.jpg,626,800,teeshirt,97,111,555,702
2594.jpg,600,900,teeshirt,63,351,600,899
2595.jpg,445,543,teeshirt,21,47,432,523
2596.jpg,2000,2000,teeshirt,201,87,2000,1998
2597.jpg,871,1110,teeshirt,17,251,871,1064
2601.jpg,222,333,teeshirt,17,45,216,291
2602.jpg,445,543,teeshirt,19,53,429,489
2603.jpg,2000,2000,teeshirt,201,69,1725,1966
2604.jpg,2000,2000,teeshirt,322,99,1716,1899
2605.jpg,800,1000,teeshirt,70,156,783,901
2606.jpg,900,1200,teeshirt,38,96,883,1125
2607.jpg,445,543,teeshirt,108,110,378,467
2608.jpg,2000,2000,teeshirt,95,66,1901,1920
2609.jpg,800,1000,teeshirt,95,166,782,904
2610.jpg,2000,2000,teeshirt,262,72,1709,1999
2611.jpg,871,1110,teeshirt,310,188,871,1034
2612.jpg,640,820,teeshirt,102,147,550,791
2613.jpg,1686,2529,teeshirt,245,603,1437,2141
2614.jpg,800,1000,teeshirt,42,183,765,906
2615.jpg,2240,1448,teeshirt,643,166,1634,1446
2616.jpg,900,1200,teeshirt,62,120,871,1158
2617.jpg,626,800,teeshirt,102,129,545,661
2619.jpg,1001,1400,teeshirt,97,144,929,995
2621.jpg,626,800,teeshirt,106,107,525,685
2623.jpg,445,543,teeshirt,111,123,400,495
2624.jpg,560,694,teeshirt,96,132,491,596
2626.jpg,2000,2000,teeshirt,237,75,1671,1851
2627.jpg,870,1110,teeshirt,269,257,698,1100
2628.jpg,1080,1620,teeshirt,86,195,953,1442
2629.jpg,222,333,teeshirt,3,45,222,299
2630.jpg,900,1200,teeshirt,45,122,823,1094
2632.jpg,1001,1400,teeshirt,127,135,904,912
2633.jpg,760,1177,teeshirt,36,136,713,995
2634.jpg,626,800,teeshirt,72,103,552,724
2635.jpg,600,900,teeshirt,111,315,445,778
2636.jpg,445,543,teeshirt,5,16,443,505
2637.jpg,2000,2000,teeshirt,210,60,1771,1941
2638.jpg,871,1110,teeshirt,13,244,586,942
2639.jpg,372,372,teeshirt,102,86,268,296
2642.jpg,222,333,teeshirt,9,52,214,300
2643.jpg,445,543,teeshirt,25,34,431,504
2644.jpg,2000,2000,teeshirt,219,35,1686,1941
2645.jpg,2000,2000,teeshirt,310,78,1701,1905
2646.jpg,800,1000,teeshirt,21,151,797,875
2647.jpg,900,1200,teeshirt,76,120,867,1200
2648.jpg,2000,2000,teeshirt,228,123,1774,2000
2649.jpg,800,1000,teeshirt,83,153,765,903
2650.jpg,2000,2000,teeshirt,216,48,1813,1990
2651.jpg,870,1110,teeshirt,59,244,532,988
2652.jpg,640,821,teeshirt,60,152,585,785
2653.jpg,1686,2529,teeshirt,264,583,1391,1999
2654.jpg,800,1000,teeshirt,74,165,749,854
2655.jpg,2240,1448,teeshirt,659,187,1599,1448
2656.jpg,900,1200,teeshirt,40,107,860,1082
2657.jpg,626,800,teeshirt,98,126,541,673
2658.jpg,372,372,teeshirt,102,82,267,280
2659.jpg,1001,1400,teeshirt,146,142,897,918
2661.jpg,626,800,teeshirt,111,118,533,698
2663.jpg,445,543,teeshirt,104,109,395,485
2664.jpg,560,694,teeshirt,54,139,499,567
2665.jpg,800,1000,teeshirt,24,153,773,948
2666.jpg,2000,2000,teeshirt,274,78,1774,1929
2668.jpg,1080,1620,teeshirt,93,207,1031,1450
2669.jpg,222,333,teeshirt,8,36,217,306
2670.jpg,900,1200,teeshirt,43,123,832,1098
2672.jpg,1001,1400,teeshirt,112,131,846,899
2673.jpg,760,1177,teeshirt,7,143,714,1067
2674.jpg,626,800,teeshirt,137,117,506,666
2675.jpg,600,900,teeshirt,126,232,523,789
2676.jpg,445,543,teeshirt,18,42,432,499
2677.jpg,2000,2000,teeshirt,207,75,1837,1920
2678.jpg,870,1110,teeshirt,8,229,439,957
2678.jpg,870,1110,teeshirt,446,225,854,1003
2682.jpg,222,333,teeshirt,11,44,213,307
2683.jpg,445,543,teeshirt,13,52,432,518
2684.jpg,2000,2000,teeshirt,189,87,1747,1938
2685.jpg,2000,2000,teeshirt,253,90,1765,1987
2686.jpg,800,1000,teeshirt,83,165,733,860
2687.jpg,900,1200,teeshirt,54,107,852,1062
2688.jpg,2000,2000,teeshirt,322,69,1747,1929
2689.jpg,800,1000,teeshirt,77,172,730,874
2690.jpg,2000,2000,teeshirt,189,81,1856,1914
2691.jpg,870,1110,teeshirt,108,198,590,873
2692.jpg,640,821,teeshirt,50,165,568,789
